,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
92,noumea,40,NC,1570678163,51,-22.28,166.46,82,16.11
93,mahaicony,,,,,,,,
94,bluff,0,AU,1570678165,32,-23.58,149.07,81.81,5.31
95,georgetown,20,GY,1570678166,94,6.8,-58.16,77,2.24
96,muros,15,ES,1570678168,93,42.77,-9.06,59,4.7
97,faya,100,SA,1570678170,44,18.39,42.45,60.8,8.21
98,norton shores,20,US,1570678170,76,43.17,-86.26,57.2,5.82
99,mosquera,40,CO,1570678171,81,4.71,-74.23,51.8,2.24
100,amurzet,42,CN,1570678171,56,47.69,131.09,61.83,13.07
101,tucurui,79,BR,1570678171,73,-3.77,-49.67,79.48,2.13
102,valera,99,VE,1570678173,89,9.31,-70.61,70.88,3.25
103,coswig,75,DE,1570678173,76,51.13,13.58,53.01,12.75
104,asau,,,,,,,,
105,machico,75,PT,1570678175,72,32.7,-16.77,68,17.22
106,bredasdorp,43,ZA,1570678175,86,-34.53,20.04,41,1.12
107,kholtoson,100,RU,1570678176,67,50.3,103.31,30.06,3.66
108,saint george,20,GR,1570678176,100,39.45,22.34,55.4,4.7
109,tiksi,100,RU,1570678177,92,71.64,128.87,24.28,9.93
110,grootfontein,27,NA,1570678177,36,-19.56,18.1,57.29,3.29
111,bacuit,,,,,,,,
112,te anau,100,NZ,1570678178,94,-45.41,167.72,44.55,10.11
113,dikson,73,RU,1570678178,87,73.51,80.55,28.74,24.74
114,pinawa,100,CA,1570678178,100,50.15,-95.88,32,11.78
115,lavrentiya,91,RU,1570678178,70,65.58,-170.99,34.57,13.2
116,shelui,85,TZ,1570678178,63,-4.36,34.2,69.71,8.75
117,talnakh,75,RU,1570678178,68,69.49,88.39,24.8,15.66
118,tautira,75,PF,1570678179,61,-17.73,-149.15,80.6,4.7
119,verkhnevilyuysk,100,RU,1570678179,89,63.45,120.31,20.7,10.31
120,mar del plata,0,AR,1570678179,40,-46.43,-67.52,53.13,19.64
121,derzhavinsk,100,KZ,1570678179,45,51.1,66.31,56.16,10.29
122,maldonado,75,UY,1570678179,68,-34.91,-54.96,64.4,6.93
123,sainte-marie,90,CA,1570678180,87,46.45,-71.03,48.99,3.36
124,platanos,40,GR,1570678180,88,35.47,23.6,71.01,6.93
125,rocha,100,UY,1570678180,76,-34.48,-54.34,61.59,10.72
126,east london,75,ZA,1570678180,93,-33.02,27.91,53.6,8.05
127,puerto ayora,18,EC,1570678180,94,-0.74,-90.35,64,1.99
128,pelym,100,RU,1570678181,94,61.01,62,39.22,7.15
129,tarudant,,,,,,,,
130,nabire,72,ID,1570678181,55,-3.36,135.5,88.3,4.7
131,srednekolymsk,92,RU,1570678181,76,67.46,153.71,19.45,8.31
132,kununurra,17,AU,1570678181,7,-15.77,128.74,102.2,14.99
133,palagonia,75,IT,1570678182,94,37.33,14.75,71.6,69.12
134,basar,90,IN,1570678182,94,27.98,94.69,75.2,5.82
135,nhamunda,36,BR,1570678183,78,-2.19,-56.71,77.52,0.96
136,mount isa,93,AU,1570678183,5,-20.73,139.49,87.8,18.34
137,coquimbo,90,CL,1570678183,87,-29.95,-71.34,60.01,3.36
138,cabo san lucas,5,MX,1570678184,58,22.89,-109.91,87.01,4.7
139,kieta,63,PG,1570678184,72,-6.22,155.63,83.82,5.17
140,new norfolk,40,AU,1570678184,62,-42.78,147.06,57,17.22
141,namibe,85,AO,1570678184,86,-15.19,12.15,67.57,1.44
142,bathsheba,20,BB,1570678184,69,13.22,-59.52,82.4,13.87
143,along,28,IN,1570678185,94,28.17,94.8,71.15,2.93
144,kefamenanu,56,ID,1570678185,25,-9.45,124.48,92.35,16.19
145,bolungarvik,,,,,,,,
146,yar-sale,100,RU,1570678185,88,66.83,70.83,39.34,22.19
147,caldwell,0,US,1570678186,48,43.67,-116.69,41,8.05
148,attawapiskat,,,,,,,,
149,keflavik,1,IS,1570678187,75,64,-22.56,41,20.8
150,birao,43,CF,1570678187,84,10.3,22.78,70.83,2.43
151,nanortalik,11,GL,1570678188,88,60.14,-45.24,38.8,11.34
152,padang,78,ID,1570678188,77,-0.92,100.36,76.71,4.03
153,san juan,28,AR,1570678188,28,-31.54,-68.53,67.12,4.12
154,marcona,,,,,,,,
155,muzhi,100,RU,1570678188,98,65.4,64.7,37.13,8.62
156,amderma,,,,,,,,
157,hamilton,5,CA,1570678189,87,43.26,-79.87,59,10.29
158,ode,67,NG,1570678189,94,8.45,4.32,71.4,6.46
159,yubari,,,,,,,,
160,fort nelson,40,CA,1570678189,63,58.81,-122.69,30.2,2.24
161,hami,100,CN,1570678190,17,42.84,93.51,67.93,7.7
162,vardo,1,US,1570678191,66,39.62,-77.74,55.4,4.7
163,sao miguel do araguaia,69,BR,1570678192,79,-13.28,-50.16,74.57,4.11
164,cheremukhovo,99,RU,1570678193,93,56.23,46.23,39.9,7.13
165,constitucion,75,MX,1570678195,49,23.99,-104.67,68,9.17
166,zhezkazgan,90,KZ,1570678195,33,47.8,67.71,42.8,4.47
167,zhiryatino,90,RU,1570678197,93,53.22,33.73,44.6,8.95
168,port lincoln,92,AU,1570678198,64,-34.72,135.86,59.38,7.9
169,mareeba,20,AU,1570678199,28,-16.99,145.42,91,12.75
170,kokstad,100,ZA,1570678201,91,-30.55,29.42,44.71,4.78
171,oktyabrskoye,36,RU,1570678202,55,56.73,85.44,37.99,11.18
172,leh,0,IN,1570678203,47,34.16,77.58,31.33,1.55
173,calinesti-oas,20,RO,1570678204,93,47.9,23.3,57.2,5.82
174,tezu,100,IN,1570678205,95,27.93,96.16,68.02,2.23
175,harper,1,US,1570678205,61,30.3,-99.24,80.6,8.05
176,isangel,75,VU,1570678206,61,-19.55,169.27,80.6,6.93
177,chapais,1,CA,1570678207,81,49.78,-74.86,42.8,4.7
178,sao filipe,13,CV,1570678209,82,14.9,-24.5,77.38,6.96
179,ilulissat,8,GL,1570678210,50,69.22,-51.1,28.4,9.17
180,bengkulu,,,,,,,,
181,sitka,33,US,1570678213,74,37.17,-99.65,72,24
182,katsuura,20,JP,1570678214,53,33.93,134.5,80.01,12.75
183,huazolotitlan,,,,,,,,
184,coihaique,75,CL,1570678215,75,-45.58,-72.07,46.4,2.24
185,butaritari,74,KI,1570678217,67,3.07,172.79,85.26,12.54
186,san jose,100,HN,1570678218,97,14.25,-87.96,65.25,2.27
187,talaya,74,RU,1570678218,55,55.79,84.89,35.6,11.18
188,thunder bay,40,CA,1570678219,81,48.41,-89.26,57.99,6.93
189,grand river south east,,,,,,,,
190,steamboat springs,90,US,1570678222,60,40.48,-106.83,48.2,8.05
191,birmensdorf,75,CH,1570678223,81,47.35,8.44,53.6,8.05
192,pangnirtung,9,CA,1570678224,84,66.15,-65.72,33.39,5.48
193,ayan,20,IR,1570678225,58,38.23,44.7,53.6,2.24
194,litovko,21,RU,1570678226,62,49.24,135.18,58.41,16.19
195,lensk,100,RU,1570678227,89,60.71,114.91,18.48,10.63
196,aksha,79,RU,1570678229,36,50.28,113.29,29.34,15.71
197,sabang,100,PH,1570678231,58,13.8,121.11,87.39,5.27
198,guerrero negro,0,MX,1570678232,80,27.97,-114.04,67.23,12.77
199,trelew,0,AR,1570678233,34,-43.25,-65.31,57.51,23.15
200,cotonou,40,BJ,1570678234,94,6.37,2.43,78.8,11.41
201,provideniya,40,RU,1570678234,69,64.42,-173.23,35.6,13.42
202,san quintin,2,PH,1570678235,61,17.54,120.52,85.75,4.24
203,raudeberg,100,NO,1570678235,66,61.99,5.14,51.8,13.87
204,sao joao da barra,100,BR,1570678235,92,-21.64,-41.05,72.72,3.7
205,abha,98,SA,1570678236,44,18.22,42.5,60.8,6.34
206,avera,1,US,1570678236,88,33.19,-82.53,68,3.36
207,belushya guba,,,,,,,,
208,olafsvik,,,,,,,,
209,bozhou,100,CN,1570678236,70,33.86,115.78,65.3,3.91
210,dossor,0,KZ,1570678236,55,47.52,52.98,41.72,9.51
211,nizhniy baskunchak,17,RU,1570678237,55,48.22,46.83,43.59,5.39
212,beloha,0,MG,1570678237,60,-25.17,45.06,74.23,6
213,tamiahua,100,MX,1570678237,77,21.28,-97.45,81.46,7.54
214,narsaq,9,GL,1570678237,59,60.91,-46.05,33.8,4.7
215,north myrtle beach,90,US,1570678238,68,33.83,-78.68,69.01,12.75
216,las lomas,1,PE,1570678239,72,-4.66,-80.24,64.04,2.11
217,astoria,1,US,1570678240,65,46.19,-123.83,50,4.7
218,bolshiye uki,,,,,,,,
219,vostok,0,RU,1570678242,45,46.45,135.83,60.06,12.82
220,lermontovka,0,RU,1570678242,64,47.15,134.34,59.32,12.14
221,cairo,40,EG,1570678243,83,30.05,31.24,71.6,5.82
222,bandar-e lengeh,0,IR,1570678243,79,26.56,54.88,86,6.2
223,caledon,5,CA,1570678244,66,43.88,-79.86,59,12.75
224,keskin,0,TR,1570678245,70,39.67,33.62,55.99,2.3
225,half moon bay,1,US,1570678245,66,37.46,-122.43,66.2,8.05
226,riberalta,18,BO,1570678245,71,-11,-66.08,75.99,1.32
227,kloulklubed,75,PW,1570678246,62,7.04,134.26,89.6,11.41
228,waingapu,13,ID,1570678246,79,-9.65,120.26,79.11,9.2
229,tarancon,0,ES,1570678246,71,40.01,-3.01,57.99,6.93
230,puqi,40,CN,1570678246,49,29.72,113.88,84.6,3.66
231,kiunga,100,PG,1570678246,83,-6.12,141.3,80.01,1.89
232,sobolevo,99,RU,1570678247,97,54.43,31.9,41.68,9.59
233,bouca,100,CF,1570678247,96,6.51,18.28,68.92,1.86
234,doctor pedro p. pena,,,,,,,,
235,louisbourg,,,,,,,,
236,taltal,12,CL,1570678247,89,-25.41,-70.49,50.41,2.38
237,athabasca,0,CA,1570678248,52,54.72,-113.29,25.36,7.18
238,gangtok,0,IN,1570678249,59,27.33,88.61,61.23,3.72
239,san policarpo,100,PH,1570678249,80,12.18,125.51,84.6,8.48
240,denia,48,ES,1570678249,85,38.84,0.11,71.01,5.09
241,neiafu,75,TO,1570678250,74,-18.65,-173.98,80.6,6.93
242,ozieri,40,IT,1570678250,77,40.59,9,68,17.22
243,cooma,40,AU,1570678250,43,-36.24,149.13,55.4,6.93
244,makakilo city,90,US,1570678250,74,21.35,-158.09,86,5.82
245,bethel,90,US,1570678250,80,60.79,-161.76,44.6,8.05
246,yuzhne,90,UA,1570678251,87,48.22,33.85,51.8,11.18
247,san rafael,66,AR,1570678251,30,-34.61,-68.33,62.6,4.73
248,saint-philippe,1,CA,1570678251,81,45.36,-73.48,52,8.05
249,samarai,89,PG,1570678251,87,-10.62,150.67,76.93,8.45
250,el alto,0,BO,1570678251,67,-16.5,-68.19,37.4,8.05
251,luderitz,0,NA,1570678252,50,-26.65,15.16,57.2,6.93
252,le port,70,FR,1570678252,73,42.87,1.37,55.99,3
253,airai,46,TL,1570678252,28,-8.93,125.41,86.88,9.6
254,tervel,0,BG,1570678252,85,43.43,26.76,50.34,5.18
255,viligili,,,,,,,,
256,ulladulla,40,AU,1570678253,45,-35.36,150.48,64.4,9.17
257,tuatapere,100,NZ,1570678253,94,-46.13,167.69,46.99,11.01
258,malwan,,,,,,,,
259,belyy yar,59,RU,1570678253,65,53.6,91.39,41,6.71
260,severo-kurilsk,100,RU,1570678253,95,50.68,156.12,43.5,39.43
261,buala,98,SB,1570678254,72,-8.15,159.59,83.01,5.97
262,north bend,1,US,1570678254,81,43.41,-124.22,51.01,4.7
263,thompson,20,CA,1570678254,73,55.74,-97.86,24.8,2.24
264,bambanglipuro,3,ID,1570678254,51,-7.95,110.28,86.09,12.56
265,nguiu,,,,,,,,
266,pendleton,1,US,1570678255,100,34.65,-82.78,64.99,4.34
267,sandnessjoen,0,NO,1570678255,68,66.02,12.63,37.4,8.05
268,skjaerhollen,,,,,,,,
269,yellowknife,75,CA,1570678255,59,62.45,-114.38,34,6.93
270,talcahuano,100,CL,1570678255,76,-36.72,-73.12,57.2,6.93
271,ludvika,90,SE,1570678255,100,60.15,15.18,43,2.24
272,merauke,100,ID,1570678256,57,-8.49,140.4,84.9,11.47
273,marsaxlokk,20,MT,1570678256,94,35.84,14.54,72,2.24
274,necochea,9,AR,1570678256,94,-38.55,-58.74,39.99,1.01
275,raga,,,,,,,,
276,itoman,40,JP,1570678257,69,26.12,127.67,86,23.04
277,grande-riviere,,,,,,,,
278,kabompo,92,ZM,1570678257,81,-13.6,24.21,64.49,4.52
279,saint-joseph,0,FR,1570678257,71,43.56,6.97,64.99,3.36
280,tucuman,0,PE,1570678257,29,-17.17,-70.89,51.46,3.25
281,kendari,51,ID,1570678258,50,-3.99,122.52,88.74,3.75
282,alofi,75,NU,1570678258,65,-19.06,-169.92,82.4,10.29
283,grindavik,1,IS,1570678258,75,63.84,-22.43,41,20.8
284,kanniyakumari,22,IN,1570678258,73,8.08,77.57,81.81,4.1
285,kirensk,87,RU,1570678258,57,57.78,108.12,22.55,5.22
286,ingham,0,AU,1570678259,35,-18.65,146.16,90.01,6.57
287,codrington,40,AU,1570678259,43,-28.95,153.24,71.6,11.41
288,fortuna,1,US,1570678259,71,40.6,-124.16,51.8,10.29
289,kroya,66,ID,1570678259,35,-6.5,108.06,94.98,3.87
290,lorengau,15,PG,1570678260,70,-2.02,147.27,84.09,1.65
291,brae,100,GB,1570678260,93,60.4,-1.35,51.8,11.41
292,sembe,,,,,,,,
293,chaozhou,20,CN,1570678260,62,23.66,116.62,84.2,4.47
294,bilma,100,NE,1570678260,30,18.69,12.92,85.82,5.35
295,iseyin,96,NG,1570678260,99,7.97,3.6,70.34,2.82
296,adrar,0,DZ,1570678261,37,27.87,-0.29,66.2,10.29
297,lahaina,20,US,1570678261,62,20.87,-156.68,87.8,13.87
298,sume,0,RS,1570678261,100,43.62,20.22,53.6,2.24
299,santa cruz de la palma,75,ES,1570678261,64,28.68,-17.76,71.6,9.17
300,ozinki,11,RU,1570678261,70,51.2,49.73,38.88,9.05
301,oussouye,75,SN,1570678262,94,12.49,-16.54,80.6,4.7
302,bacolod,78,PH,1570678262,77,10.68,122.95,83.01,6.16
303,shetpe,33,KZ,1570678262,74,44.14,52.16,48.49,8.59
304,saleaula,,,,,,,,
305,mildura,0,AU,1570678262,32,-34.18,142.16,66.2,9.17
306,beyneu,0,KZ,1570678263,73,45.32,55.19,48.18,14.22
307,gushikawa,20,JP,1570678263,58,26.35,127.87,86,17.22
308,ongandjera,66,NA,1570678263,29,-17.88,15.07,63.93,7.35
309,toamasina,75,MG,1570678263,94,-18.17,49.38,69.8,2.24
310,port keats,6,AU,1570678264,27,-14.25,129.55,93.43,7.38
311,nova vicosa,78,BR,1570678264,84,-17.89,-39.37,73.81,8.74
312,ostersund,100,SE,1570678264,93,63.18,14.64,37.4,9.17
313,duz,,,,,,,,
314,college,90,US,1570678264,100,64.86,-147.8,41,3.36
315,labrea,,,,,,,,
316,agadez,1,NE,1570678265,83,16.97,7.99,75.2,7.12
317,yerky,100,UA,1570678265,96,49.93,33.53,52.07,10.81
318,haines junction,97,CA,1570678265,96,60.75,-137.51,29.53,7.17
319,gogrial,,,,,,,,
320,upernavik,23,GL,1570678265,48,72.79,-56.15,26.19,4.58
321,saldanha,0,PT,1570678265,73,41.42,-6.55,51.73,7.94
322,lagoa,0,PT,1570678266,68,37.14,-8.45,64.4,2.24
323,lolua,,,,,,,,
324,anloga,40,GH,1570678266,88,5.79,0.9,78.8,11.41
325,talara,0,PE,1570678266,88,-4.58,-81.27,63.14,15.94
326,biggar,0,CA,1570678266,64,52.06,-107.98,24.85,5.44
327,ponta do sol,97,BR,1570678267,93,-20.63,-46,65.55,7.41
328,santa maria,75,BR,1570678267,64,-16.02,-48.01,75.2,1.7
329,praxedis guerrero,20,MX,1570678267,22,31.37,-106.02,78.8,8.05
330,daxian,,,,,,,,
331,iroquois falls,5,CA,1570678267,70,48.76,-80.69,48.2,6.93
332,mutis,100,CO,1570678268,84,6.23,-77.4,79.14,5.53
333,watford,0,GB,1570678268,87,51.66,-0.4,50,10.29
334,labuan,75,BN,1570678269,83,5.28,115.24,84.2,6.93
335,palabuhanratu,,,,,,,,
336,cherskiy,0,RU,1570678270,85,68.75,161.3,20.14,5.51
337,mokhsogollokh,100,RU,1570678270,74,61.4,128.95,24.93,6.78
338,drogheda,40,IE,1570678270,87,53.71,-6.35,51.01,13.87
339,safwah,,,,,,,,
340,souillac,82,FR,1570678270,93,45.6,-0.6,57,5.82
341,hukuntsi,0,BW,1570678270,33,-23.98,21.76,57.07,10.5
342,gat,69,SN,1570678271,88,14.69,-16.54,80.6,3.3
343,aitape,100,PG,1570678271,67,-3.15,142.36,82.62,3.22
344,nicoya,75,CR,1570678271,100,10.15,-85.45,75.2,3.36
345,zdvinsk,50,RU,1570678271,64,54.7,78.67,46.47,10.51
346,moyale,100,ET,1570678271,90,3.52,39.05,69.13,11.6
347,sagone,1,FR,1570678272,93,42.12,8.7,69.8,6.93
348,sadovoye,76,RU,1570678272,52,47.78,44.52,46.56,6.18
349,charters towers,0,AU,1570678272,28,-20.07,146.27,91.2,10.59
350,poroshkovo,100,UA,1570678272,98,48.67,22.75,55.99,20
351,rulenge,100,TZ,1570678272,80,-2.72,30.63,65.23,2.13
352,sterlibashevo,100,RU,1570678272,86,53.44,55.26,37.31,8.99
353,warqla,,,,,,,,
354,saint leonard,78,US,1570678273,87,38.47,-76.51,60.01,10.29
355,qaqortoq,0,GL,1570678273,59,60.72,-46.03,33.8,4.7
356,port hawkesbury,1,CA,1570678273,93,45.62,-61.36,48,6.93
357,burgos,4,ES,1570678274,87,42.34,-3.7,46,5.82
358,ketchikan,75,US,1570678275,81,55.34,-131.65,46.4,9.17
359,alexandria,0,RO,1570678275,97,43.97,25.33,43,4.73
360,hobyo,1,SO,1570678276,82,5.35,48.53,79.18,5.01
361,misratah,100,LY,1570678276,68,32.38,15.09,76.15,1.44
362,ust-tsilma,100,RU,1570678276,91,65.44,52.15,31.6,5.1
363,palmer,0,AU,1570678276,45,-34.85,139.16,70,12.75
364,marienburg,20,DE,1570678276,87,52.12,9.98,50,8.05
365,kaitangata,100,NZ,1570678276,90,-46.28,169.85,46.99,23
366,port-gentil,100,GA,1570678277,83,-0.72,8.78,78.64,8.11
367,kulhudhuffushi,94,MV,1570678277,76,6.62,73.07,82.9,11.56
368,kahului,40,US,1570678277,58,20.89,-156.47,87.8,16.11
369,bardiyah,,,,,,,,
370,abnub,0,EG,1570678277,53,27.27,31.15,73.4,11.41
371,prince albert,20,CA,1570678281,53,53.2,-105.75,26.6,5.82
372,chicama,90,PE,1570678281,87,-7.84,-79.15,60.8,5.82
373,ruatoria,,,,,,,,
374,arraial do cabo,100,BR,1570678283,88,-22.97,-42.02,70.79,5.35
375,tres arroyos,0,AR,1570678283,64,-38.38,-60.28,47.62,9.04
376,hualmay,37,PE,1570678283,87,-11.1,-77.61,56.08,1.93
377,wencheng,14,CN,1570678283,61,27.79,120.09,82.27,0.6
378,lebu,36,ET,1570678284,82,8.96,38.73,49.3,3.07
379,augusto correa,0,BR,1570678284,77,-1.02,-46.63,78.03,7.67
380,svetlyy,,,,,,,,
381,clyde river,75,CA,1570678284,77,70.47,-68.59,32,18.34
382,trinidad,0,BO,1570678284,62,-14.83,-64.9,75.9,2.58
383,chingirlau,100,KZ,1570678285,76,51.09,54.08,38.68,6.63
384,turtas,100,RU,1570678285,88,58.94,69.13,50.07,6.24
385,samusu,,,,,,,,
386,worthington,90,US,1570678285,71,43.62,-95.6,59,17.22
387,xingyi,5,CN,1570678285,68,24.19,102.82,69.22,5.55
388,coari,60,BR,1570678286,84,-4.09,-63.14,75.42,2.21
389,ustka,100,PL,1570678286,94,54.58,16.86,48.97,7.54
390,los llanos de aridane,75,ES,1570678286,64,28.66,-17.92,71.6,9.17
391,kirakira,94,SB,1570678286,80,-10.46,161.92,81.32,4.92
392,sentyabrskiy,,,,,,,,
393,taoudenni,0,ML,1570678286,21,22.68,-3.98,76.19,9.75
394,ahipara,89,NZ,1570678287,94,-35.17,173.16,70,1.99
395,innisfail,0,AU,1570678287,29,-17.52,146.03,89.01,1.01
396,macas,25,EC,1570678287,97,-2.3,-78.12,61.12,2.1
397,san andres,100,PH,1570678287,55,13.32,122.68,87.91,4.05
398,mumford,22,GH,1570678287,98,5.26,-0.76,71.92,3.67
399,balikpapan,99,ID,1570678288,85,-1.24,116.86,82.38,3.73
400,truth or consequences,1,US,1570678288,18,33.13,-107.25,73.4,9.17
401,kuche,,,,,,,,
402,bilibino,0,RU,1570678288,88,68.06,166.44,13.03,2.41
403,akyab,,,,,,,,
404,staryy nadym,100,RU,1570678288,85,65.61,72.68,39.6,27.1
405,bhanpuri,0,IN,1570678289,75,21.1,80.92,77.2,4.89
406,inhambane,0,MZ,1570678289,87,-23.87,35.38,75.7,11.77
407,karkaralinsk,,,,,,,,
408,paamiut,0,GL,1570678289,58,61.99,-49.67,37.45,5.72
409,novyy urgal,100,RU,1570678289,90,51.07,132.56,42.76,6.64
410,westport,75,US,1570678290,76,41.14,-73.36,55,13.87
411,sao felix do xingu,100,BR,1570678290,90,-6.64,-51.99,71.78,0.68
412,kaeo,100,NZ,1570678290,94,-35.1,173.78,70,1.99
413,prieska,100,ZA,1570678290,70,-29.67,22.74,45.12,17.62
414,nome,1,US,1570678290,83,30.04,-94.42,81,6.15
415,shelburne,5,CA,1570678291,66,44.08,-80.2,55.4,12.75
416,ancud,75,CL,1570678291,100,-41.87,-73.83,50,9.17
417,vila franca do campo,75,PT,1570678291,68,37.72,-25.43,71.01,6.93
418,kiri buru,13,IN,1570678291,79,22.08,85.35,76.6,2.35
419,williston,90,US,1570678291,92,48.15,-103.62,28.99,12.75
420,kedrovyy,0,RU,1570678292,63,56.17,91.82,28.4,2.24
421,novopokrovka,90,UA,1570678292,87,49.84,36.56,50,6.71
422,kenai,90,US,1570678292,100,60.55,-151.26,46.99,4.7
